Date,Price,Open,High,Low,Vol.,Change %
01-23-2018,982.98,995.26,1022.00,905.38,798.28K,-1.22%
01-24-2018,1063.20,982.11,1068.80,952.04,606.14K,8.16%
01-25-2018,1048.20,1061.80,1102.40,1025.10,567.30K,-1.41%
01-26-2018,1047.00,1048.20,1078.60,983.00,485.47K,-0.11%
01-27-2018,1114.80,1046.90,1125.30,1031.60,370.17K,6.48%
01-28-2018,1246.60,1114.70,1264.80,1109.00,662.74K,11.82%
01-29-2018,1175.00,1245.50,1259.80,1155.90,488.44K,-5.74%
01-30-2018,1071.90,1174.36,1178.92,1042.90,1.42M,-8.77%
01-31-2018,1118.08,1072.17,1126.87,1028.03,990.74K,4.31%
02-01-2018,1033.55,1118.15,1157.09,970.42,1.76M,-7.56%
02-02-2018,920.85,1033.02,1036.17,766.82,3.03M,-10.90%
02-03-2018,971.49,920.93,997.51,850.38,1.07M,5.50%
02-04-2018,829.43,971.49,972.66,788.79,1.34M,-14.62%
02-05-2018,696.86,828.49,859.72,634.64,2.99M,-15.98%
02-06-2018,783.83,696.75,797.94,568.78,4.29M,12.48%
02-07-2018,753.18,782.72,852.98,719.34,1.98M,-3.91%
02-08-2018,805.40,752.75,831.02,751.76,1.25M,6.93%
02-09-2018,877.85,805.15,879.51,781.97,923.81K,9.00%
02-10-2018,851.39,877.88,908.26,816.72,1.05M,-3.01%
02-11-2018,810.45,851.44,854.10,778.90,988.45K,-4.81%
02-12-2018,865.62,811.01,875.52,810.99,837.42K,6.81%
02-13-2018,841.38,865.72,868.92,822.98,733.53K,-2.80%
02-14-2018,919.67,841.38,922.38,840.82,993.86K,9.30%
02-15-2018,927.56,919.53,945.99,902.56,952.23K,0.86%
02-16-2018,937.50,927.34,945.68,907.33,662.76K,1.07%
02-17-2018,971.54,937.35,972.86,934.49,648.32K,3.63%
02-18-2018,913.10,971.57,980.27,903.28,869.06K,-6.02%
02-19-2018,940.08,913.09,954.94,910.29,552.22K,2.95%
02-20-2018,884.51,940.04,959.41,877.65,788.97K,-5.91%
02-21-2018,839.10,884.94,906.43,818.48,1.01M,-5.13%
02-22-2018,803.66,838.97,878.14,789.92,849.82K,-4.22%
02-23-2018,856.65,803.56,882.61,787.95,868.36K,6.59%
02-24-2018,834.36,854.99,874.49,810.91,669.62K,-2.60%
02-25-2018,840.88,834.10,849.36,818.46,507.82K,0.78%
02-26-2018,866.99,841.28,879.18,835.34,619.75K,3.11%
02-27-2018,871.44,867.06,894.78,861.40,569.30K,0.51%
02-28-2018,852.49,871.58,888.06,850.84,550.74K,-2.17%
03-01-2018,870.04,852.44,879.53,848.41,514.50K,2.06%
03-02-2018,856.09,870.51,875.69,850.47,463.75K,-1.60%
03-03-2018,855.91,855.46,868.51,853.45,407.54K,-0.02%
03-04-2018,865.53,855.91,867.35,838.06,444.49K,1.12%
03-05-2018,850.24,865.53,870.27,850.24,466.38K,-1.77%
03-06-2018,814.88,850.00,851.72,803.90,578.56K,-4.16%
03-07-2018,749.98,814.56,824.83,724.98,945.38K,-7.96%
03-08-2018,698.96,750.09,772.23,689.41,850.15K,-6.80%
03-09-2018,725.89,698.91,728.83,644.46,1.13M,3.85%
03-10-2018,682.52,725.70,746.13,678.46,673.80K,-5.97%
03-11-2018,720.12,682.77,733.33,664.53,690.94K,5.51%
03-12-2018,697.04,720.12,739.25,678.27,664.59K,-3.20%
03-13-2018,689.57,697.06,713.80,680.01,558.73K,-1.07%
03-14-2018,612.09,689.67,702.53,587.10,990.48K,-11.24%
03-15-2018,610.13,612.08,620.01,572.69,991.89K,-0.32%
03-16-2018,600.79,610.36,625.34,585.84,695.58K,-1.53%
03-17-2018,550.27,600.48,609.48,544.51,777.54K,-8.41%
03-18-2018,536.72,549.96,559.19,454.90,2.56M,-2.46%
03-19-2018,556.16,536.72,558.33,516.31,1.46M,3.62%
03-20-2018,557.08,555.75,566.63,517.02,1.16M,0.17%
03-21-2018,560.24,557.09,589.83,545.87,1.01M,0.57%
03-22-2018,539.87,559.90,577.63,517.81,887.95K,-3.63%
03-23-2018,543.42,539.90,543.51,508.36,871.89K,0.66%
03-24-2018,520.45,543.15,545.15,520.05,554.62K,-4.23%
03-25-2018,523.50,520.44,535.11,513.05,495.85K,0.59%
03-26-2018,485.98,523.46,526.22,467.46,1.15M,-7.17%
03-27-2018,448.48,485.97,491.77,446.70,1.31M,-7.72%
03-28-2018,446.84,448.73,465.09,440.84,918.12K,-0.37%
03-29-2018,384.12,446.86,449.33,380.85,2.01M,-14.03%
03-30-2018,393.79,384.13,411.17,366.12,1.96M,2.52%
03-31-2018,393.96,393.75,419.07,390.09,1.21M,0.04%
04-01-2018,378.75,394.10,399.46,359.49,1.24M,-3.86%
04-02-2018,385.07,378.85,393.94,375.67,824.81K,1.67%
04-03-2018,415.55,385.02,418.78,380.89,1.06M,7.92%
04-04-2018,378.68,415.58,416.38,371.35,1.12M,-8.87%
04-05-2018,381.52,378.62,386.91,367.21,903.27K,0.75%
04-06-2018,369.97,381.69,385.70,363.83,700.80K,-3.03%
04-07-2018,384.87,369.97,394.66,369.41,600.40K,4.03%
04-08-2018,400.71,384.85,403.71,384.85,569.26K,4.12%
04-09-2018,399.05,400.67,430.85,388.05,1.30M,-0.41%
04-10-2018,415.45,399.04,417.84,391.81,709.22K,4.11%
04-11-2018,430.14,415.43,433.25,412.35,827.17K,3.54%
04-12-2018,494.03,430.13,498.13,414.07,1.86M,14.85%
04-13-2018,493.48,494.25,528.71,482.19,1.67M,-0.11%
04-14-2018,502.52,494.36,514.14,486.89,924.64K,1.83%
04-15-2018,533.90,502.52,534.18,502.52,988.29K,6.24%
04-16-2018,511.82,533.89,537.32,498.87,1.03M,-4.14%
04-17-2018,503.19,511.75,520.86,501.73,826.71K,-1.69%
04-18-2018,525.66,503.24,526.41,502.02,759.15K,4.47%
04-19-2018,567.49,525.74,570.15,522.15,1.04M,7.96%
04-20-2018,617.04,567.70,620.58,558.27,1.42M,8.73%
04-21-2018,605.59,617.10,623.86,574.73,1.23M,-1.86%
04-22-2018,622.23,605.58,643.58,591.78,1.02M,2.75%
04-23-2018,644.13,622.01,648.58,619.81,859.64K,3.52%
04-24-2018,703.02,644.08,711.74,644.05,1.48M,9.14%
04-25-2018,617.36,702.94,703.25,594.98,2.72M,-12.18%
04-26-2018,662.36,617.37,665.20,600.69,1.37M,7.29%
04-27-2018,643.97,661.65,685.54,641.84,1.06M,-2.78%
04-28-2018,683.49,643.96,693.79,640.92,871.55K,6.14%
04-29-2018,689.90,683.49,700.05,669.15,856.12K,0.94%
04-30-2018,670.07,689.83,693.85,664.03,913.86K,-2.87%
05-01-2018,671.26,670.12,674.36,630.33,1.03M,0.18%
05-02-2018,688.15,671.31,690.97,664.29,873.98K,2.52%
05-03-2018,778.95,688.23,788.61,686.79,1.55M,13.19%
05-04-2018,785.20,778.97,806.90,760.10,1.24M,0.80%
05-05-2018,818.33,785.29,830.03,782.18,1.00M,4.22%
05-06-2018,793.19,818.75,838.26,755.09,1.16M,-3.07%
05-07-2018,754.03,793.29,797.30,700.40,2.12M,-4.94%
05-08-2018,748.48,759.35,761.43,721.49,1.14M,-0.74%
05-09-2018,751.62,747.98,759.71,711.49,1.07M,0.42%
05-10-2018,724.40,751.98,768.24,723.39,983.14K,-3.62%
05-11-2018,676.21,724.36,736.58,665.81,1.63M,-6.65%
05-12-2018,683.94,676.97,689.83,635.23,1.34M,1.14%
05-13-2018,729.37,684.77,739.67,669.20,1.01M,6.64%
05-14-2018,727.06,729.41,741.52,687.16,1.39M,-0.32%
05-15-2018,705.73,727.06,738.71,696.63,1.03M,-2.93%
05-16-2018,706.53,705.73,710.49,667.51,978.18K,0.11%
05-17-2018,668.97,706.53,718.50,663.91,953.69K,-5.32%
05-18-2018,693.28,668.98,694.24,658.25,906.93K,3.63%
05-19-2018,696.76,693.28,716.51,683.38,732.31K,0.50%
05-20-2018,716.02,696.73,722.92,688.70,702.63K,2.77%
05-21-2018,696.85,716.02,718.06,694.07,590.69K,-2.68%
05-22-2018,642.17,696.84,698.48,639.20,928.09K,-7.85%
05-23-2018,577.55,642.02,649.85,564.74,1.78M,-10.06%
05-24-2018,602.43,577.52,609.39,547.39,1.56M,4.31%
05-25-2018,585.39,602.40,616.48,569.77,1.08M,-2.83%
05-26-2018,586.76,585.39,606.26,579.36,651.25K,0.24%
05-27-2018,570.69,586.63,591.48,558.44,892.94K,-2.74%
05-28-2018,512.29,570.67,575.00,507.72,1.50M,-10.23%
05-29-2018,566.81,512.32,572.71,511.94,1.38M,10.64%
05-30-2018,557.98,566.86,584.90,543.16,1.06M,-1.56%
05-31-2018,577.87,557.96,586.15,554.96,922.24K,3.56%
06-01-2018,579.30,577.87,589.55,565.69,861.91K,0.25%
06-02-2018,591.30,579.34,598.78,574.80,808.42K,2.07%
06-03-2018,619.08,591.33,627.51,590.81,764.93K,4.70%
06-04-2018,591.44,619.09,624.81,580.71,809.80K,-4.46%
06-05-2018,608.83,591.44,613.00,577.53,829.99K,2.94%
06-06-2018,606.39,608.83,611.63,593.98,700.74K,-0.40%
06-07-2018,604.71,606.39,616.52,600.29,843.32K,-0.28%
06-08-2018,599.67,604.71,608.32,593.74,622.54K,-0.83%
06-09-2018,593.80,599.67,608.65,592.54,534.16K,-0.98%
06-10-2018,524.64,593.80,593.82,503.43,1.49M,-11.65%
